,mol_path,group,msg
2614,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LODRAX_0.xyz,valid,VALID
2615,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LODSAY_0.xyz,valid,VALID
2616,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LODSEC_0.xyz,valid,VALID
2617,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LODSEC_1.xyz,metal,NO_METAL
2618,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LODSIG_0.xyz,valid,VALID
2619,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOHVEJ_0.xyz,metal,NO_METAL
2620,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOJKAW_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2621,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOJKAW_1.xyz,metal,NO_METAL
2622,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOJKAW_2.xyz,metal,NO_METAL
2623,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOJKEA_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2624,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOKNAC_0.xyz,valid,VALID
2625,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOKNAC_1.xyz,metal,NO_METAL
2626,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOKWUE_0.xyz,metal,NO_METAL
2627,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOKWUE_1.xyz,metal,NO_METAL
2628,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOLREM_0.xyz,topolocial,BIDENTATE_MACROCYCLE_SUBS
2629,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOLREM_1.xyz,metal,NO_METAL
2630,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOMLAA_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2631,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOMLAA_1.xyz,metal,NO_METAL
2632,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LONWET_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2633,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LONWET_1.xyz,charge,TOO_LARGE_COUNTER_MOL
2634,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LONWET_2.xyz,metal,NO_METAL
2635,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LONWET_3.xyz,metal,NO_METAL
2636,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOPCAW_0.xyz,valid,VALID
2637,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOPCEA_0.xyz,charge,TOO_LARGE_COUNTER_MOL
2638,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOPCEA_1.xyz,metal,NO_METAL
2639,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOPFIH_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2640,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOPFIH_1.xyz,metal,NO_METAL
2641,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOPFIH_2.xyz,metal,NO_METAL
2642,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOSGAB_0.xyz,valid,VALID
2643,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOSGAB_1.xyz,metal,NO_METAL
2644,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LOSGAB_2.xyz,metal,NO_METAL
2645,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUBNAX_0.xyz,charge,COUNTER_MOL_ODD_NUMBER_OF_ELECTRONS
2646,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUBNAX_1.xyz,metal,NO_METAL
2647,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUCCEU_0.xyz,metal,NO_METAL
2648,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUCCEU_1.xyz,charge,TOO_LARGE_COUNTER_MOL
2649,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUCCEU_2.xyz,metal,NO_METAL
2650,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUCCEU_3.xyz,metal,NO_METAL
2651,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUCCIY_0.xyz,metal,NO_METAL
2652,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUCCIY_1.xyz,metal,NO_METAL
2653,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUCCIY_2.xyz,metal,NO_METAL
2654,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUDWOY_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2655,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUDWOY_1.xyz,metal,NO_METAL
2656,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUHFUS_0.xyz,metal,NO_METAL
2657,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUHFUS_1.xyz,metal,NO_METAL
2658,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUHGEB_0.xyz,topolocial,NOT_A_MONOMER
2659,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUJJUX_0.xyz,topolocial,NOT_SATURATED
2660,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUJJUX_1.xyz,metal,NO_METAL
2661,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUJKAE_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2662,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUJKAE_1.xyz,metal,NO_METAL
2663,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUJKAE_2.xyz,metal,NO_METAL
2664,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUJKEI_0.xyz,topolocial,BIDENTATE_MACROCYCLE_SUBS
2665,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LULFAC_0.xyz,topolocial,PYRROLE_NOT_BOUND_TO_METAL
2666,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LULFAC_1.xyz,metal,NO_METAL
2667,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUMDON_0.xyz,topolocial,NOT_A_MONOMER
2668,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUMDUT_0.xyz,topolocial,NOT_CONNECTED_MOLECULE
2669,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUMFOP_0.xyz,metal,NO_METAL
2670,/home/shachar/repos/PorCrystalStructures/data/raw_xyz/xyz/porphyrins/LUMFOP_1.xyz,metal,NO_METAL
