,Unnamed: 0,positive_current,negative_current,total_current,acid_sqrt(J^2),acid_current,width,height,bond_start,bond_end,mapped_bond_start,mapped_bond_end,sid
59,59,2.623549,-39.758023,-37.134474,0.182068,5.130558,2.0,1.5,32,34,23,24,LODSEC
60,60,1.599168,-1.829804,-0.230635,0.034789,0.98033,2.0,1.5,1,28,-1,14,LODSEC
61,61,4.012288,-0.691216,3.321072,0.029861,0.841461,2.0,1.5,1,94,-1,16,LODSEC
62,62,3.940268,-1.035503,2.904764,0.036156,1.018863,2.0,1.5,27,1,17,-1,LODSEC
63,63,1.198552,-2.98005,-1.781498,0.015498,0.436738,2.0,1.5,95,1,9,-1,LODSEC
64,64,1.432066,-29.009436,-27.57737,0.110049,3.101119,2.5,1.5,24,25,1,15,LODSEC
65,65,11.750062,-8.356201,3.39386,0.097889,2.758457,2.5,1.5,26,25,13,15,LODSEC
66,66,0.657291,-40.826058,-40.168767,0.191086,5.384693,2.5,1.5,26,87,13,12,LODSEC
67,67,2.957704,-27.562064,-24.60436,0.117856,3.321115,2.5,1.5,28,26,14,13,LODSEC
68,68,20.399848,-6.237267,14.162582,0.153374,4.321983,2.5,1.5,62,87,5,12,LODSEC
69,69,11.831595,-8.461725,3.36987,0.096749,2.72634,2.5,1.5,63,62,3,5,LODSEC
70,70,2.926097,-26.324472,-23.398375,0.122056,3.439478,2.5,1.5,62,94,5,16,LODSEC
71,71,12.656142,-8.235023,4.421119,0.089369,2.518361,2.5,1.5,64,63,4,3,LODSEC
72,72,1.257082,-29.719826,-28.462744,0.126064,3.552415,2.5,1.5,64,65,4,2,LODSEC
73,73,10.139864,-11.11312,-0.973256,0.094508,2.663192,2.5,1.5,65,94,2,16,LODSEC
74,74,0.778801,-40.211914,-39.433113,0.180192,5.077694,2.5,1.5,65,66,2,6,LODSEC
75,75,18.957519,-6.662976,12.294543,0.145932,4.112266,2.5,1.5,80,66,7,6,LODSEC
76,76,9.851723,-11.113433,-1.26171,0.093791,2.64297,2.5,1.5,95,80,9,7,LODSEC
77,77,1.217299,-29.349922,-28.132623,0.12495,3.521013,2.5,1.5,80,81,7,8,LODSEC
78,78,1.297055,-29.644813,-28.347758,0.111304,3.136479,2.5,1.5,81,82,8,10,LODSEC
79,79,2.885005,-26.886809,-24.001804,0.114849,3.236385,2.5,1.5,95,12,9,11,LODSEC
80,80,0.650678,-41.295781,-40.645103,0.171701,4.838438,2.5,1.5,12,13,11,21,LODSEC
81,81,11.908876,-8.477508,3.431368,0.099756,2.811061,2.5,1.5,12,82,11,10,LODSEC
82,82,20.718858,-6.861211,13.857646,0.144334,4.067251,2.5,1.5,14,13,18,21,LODSEC
83,83,11.061079,-14.191594,-3.130514,0.107894,3.040385,2.5,1.5,27,14,17,18,LODSEC
84,84,11.749585,-8.431007,3.318579,0.099421,2.801619,2.5,1.5,30,14,19,18,LODSEC
85,85,11.19894,-13.612475,-2.413535,0.10786,3.039432,2.5,1.5,32,27,23,17,LODSEC
86,86,13.979794,-8.049871,5.929923,0.089021,2.508546,2.5,1.5,31,30,20,19,LODSEC
87,87,11.968145,-8.381375,3.58677,0.098726,2.782051,2.5,1.5,32,31,23,20,LODSEC
88,88,1.299514,-28.621368,-27.321854,0.131062,3.693239,2.5,1.5,23,24,22,1,LODSEC
89,89,2.983903,-28.55361,-25.569707,0.116633,3.286649,2.5,1.5,23,28,22,14,LODSEC
90,90,0.699681,-40.120769,-39.421088,0.180539,5.087475,2.5,1.5,34,23,24,22,LODSEC
91,91,0.656859,-40.57543,-39.918571,0.177195,4.993249,2.5,1.5,32,34,23,24,LODSEC
92,92,1.008952,-1.872181,-0.86323,0.034004,0.958215,2.5,1.5,1,28,-1,14,LODSEC
93,93,2.255273,-0.779238,1.476035,0.028203,0.794746,2.5,1.5,1,94,-1,16,LODSEC
94,94,2.431377,-1.135416,1.295961,0.034906,0.983641,2.5,1.5,27,1,17,-1,LODSEC
95,95,0.582188,-3.110841,-2.528654,0.016317,0.459792,2.5,1.5,95,1,9,-1,LODSEC
96,96,0.0,-27.553571,-27.553571,0.099492,2.80363,3.0,1.5,24,25,1,15,LODSEC
97,97,10.241349,-8.439677,1.801672,0.085504,2.409466,3.0,1.5,26,25,13,15,LODSEC
98,98,0.001962,-34.966487,-34.964526,0.169969,4.789628,3.0,1.5,26,87,13,12,LODSEC
99,99,3.632831,-26.952274,-23.319443,0.113726,3.204724,3.0,1.5,28,26,14,13,LODSEC
100,100,9.373635,-6.35329,3.020345,0.100998,2.846063,3.0,1.5,62,87,5,12,LODSEC
101,101,10.461889,-8.599426,1.862464,0.086556,2.439108,3.0,1.5,63,62,3,5,LODSEC
102,102,3.476848,-25.630842,-22.153994,0.119697,3.372979,3.0,1.5,62,94,5,16,LODSEC
103,103,11.94308,-8.158191,3.784889,0.075744,2.13441,3.0,1.5,64,63,4,3,LODSEC
104,104,1.36557,-24.062895,-22.697324,0.108222,3.049623,3.0,1.5,64,65,4,2,LODSEC
105,105,1.412523,-11.157443,-9.74492,0.055827,1.573161,3.0,1.5,65,94,2,16,LODSEC
106,106,0.908333,-35.657836,-34.749503,0.159892,4.505654,3.0,1.5,65,66,2,6,LODSEC
107,107,8.233865,-7.231865,1.002,0.098717,2.781797,3.0,1.5,80,66,7,6,LODSEC
108,108,1.288685,-11.163426,-9.874741,0.05232,1.474353,3.0,1.5,95,80,9,7,LODSEC
109,109,0.899734,-24.162014,-23.26228,0.106796,3.009434,3.0,1.5,80,81,7,8,LODSEC
110,110,0.0,-27.86946,-27.86946,0.099436,2.802043,3.0,1.5,81,82,8,10,LODSEC
111,111,3.417629,-26.207362,-22.789733,0.113401,3.195567,3.0,1.5,95,12,9,11,LODSEC
