,file,read,order,extract_mol,status
50,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AFASOS.cif,2.6737427711486816,0.0016484260559082031,,TIMEOUT
51,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAJAW.cif,0.8824543952941895,0.0005536079406738281,,TIMEOUT
52,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAKEB.cif,,,,
53,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAKOL.cif,,,,
54,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAJEA.cif,1.0840368270874023,0.0011260509490966797,,TIMEOUT
55,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAZUF.cif,,,,
56,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGEBAR.cif,,,,
57,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGOKOY.cif,,,,
58,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGUKUI.cif,,,,
59,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGULAP.cif,,,,
60,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGULET.cif,,,,
61,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGUYOQ.cif,,,,
62,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGUYUW.cif,,,,
63,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGUZAD.cif,,,,
64,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AHAQUV.cif,,,,
65,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AHIHII.cif,,,,
66,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AHOPOE.cif,,,,
67,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAJOK.cif,0.8273699283599854,0.00026798248291015625,,TIMEOUT
68,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AHOVAV.cif,,,,
69,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJAROV.cif,,,,
70,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAJUQ.cif,0.8628530502319336,0.0002391338348388672,,TIMEOUT
71,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJASAI.cif,,,,
72,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJASEM.cif,,,,
73,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJASIQ.cif,,,,
74,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAKAX.cif,0.9939029216766357,0.0003609657287597656,,TIMEOUT
75,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJEKAB.cif,,,,
76,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJEWES.cif,,,,
77,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAKIF.cif,1.0756862163543701,0.0006325244903564453,,TIMEOUT
78,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJIKEJ.cif,,,,
79,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AGAKUR.cif,1.1216466426849365,0.0013384819030761719,,TIMEOUT
80,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJIPEP.cif,,,,
81,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJUKUN.cif,,,,
82,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AKEJEH.cif,,,,
83,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AKICIG.cif,,,,
84,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AKICUS.cif,,,,
85,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AKIFAD.cif,,,,
86,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AKOTUQ.cif,,,,
87,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALALAA.cif,,,,
88,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALALIK.cif,,,,
89,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AHOPUK.cif,1.1060526371002197,0.0016055107116699219,,TIMEOUT
90,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALALUW.cif,,,,
91,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/AJERAJ.cif,0.9085536003112793,0.0001506805419921875,8.65498161315918,OK
92,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALIGAE.cif,,,,
93,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALIRIZ.cif,,,,
94,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALITAQ.cif,,,,
95,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALITEU.cif,,,,
96,/home/shachar/repos/PorCrystalStructures/data/archive/ccdc_data/cif/porphyrins/ALIXIC.cif,,,,
